,corp_common_words
0,ABADI
1,AGRO
2,ANEKA
3,BANK
4,BARITO
5,BLUE
6,BUKIT
7,BUMI
8,CAHAYA
9,CIKARANG
10,CIPTA
11,DINAMIKA
12,DUNIA
13,DUTA
14,ELANG
15,ENERGI
16,FARMA
17,GARUDA
18,GEMILANG
19,GROUP
20,HANJAYA
21,HARAPAN
22,HARMONI
23,HUTAMA
24,INDO
25,INDOMOBIL
26,INDONESIA
27,INDUSTRI
28,INDUSTRY
29,INFORMATIKA
30,INTERNASIONAL
31,INTERNATIONAL
32,INTI
33,JAYA
34,KARYA
35,KIMIA
36,KOPERASI
37,KOPERASI
38,KRAKATAU
39,LAND
40,LAUT
41,MAHKOTA
42,MAJU
43,MAKMUR
44,MANDIRI
45,MITRA
46,MULTI
47,MULYA
48,NIAGA
49,NIPPON
50,NUSA
51,NUSANTARA
52,PACIFIC
53,PERSADA
54,PERUM
55,PRIMA
56,PUSAKA
57,RESOURCES
58,SEJAHTERA
59,SEMEN
60,SENTOSA
61,SENTRA
62,SINAR
63,SUKSES
64,SUMBER
65,SYNERGY
66,TBK
67,TECHNOLOGY
68,TELEKOMUNIKASI
69,TRITUNGGAL
70,TUNAS
71,UTAMA
72,WASKITA
73,UNIT
74,RUMAH
75,SELARAS
76,BERSAUDARA
77,INTERNUSA
78,TRADING
79,MEDICA
80,BINA
81,ARTHA
82,SEMESTA
83,BAROKAH
84,GALANGAN
85,MEDICAL
86,MEDIKA
87,INVESTAMA
88,GRIYA
89,GLOBAL
90,USAHA
91,BETON
92,BERSAMA
93,YYSN
94,ADARO
95,AKADEMI
96,ANTAM
97,ASAM
98,AXIATA
99,BCA
100,BNI
101,BRI
102,BTN
103,CIPUTRA
104,CV
105,DINAS
106,HERO
107,HOLCIM
108,HYDROPOWER
109,INDIKA
110,INDOSAT
111,INTL
112,LABO
113,LION
114,LIPPO
115,MAYORA
116,MEDCO
117,METRODATA
118,MILL
119,MNC
120,MULTISTRADA
121,NUSAPHALA
122,PAKUWON
123,PELINDO
124,PEMBANGUNAN
125,PENELITIAN
126,PERSERO
127,PODOMORO
128,POLYTAMA
129,PT
130,PUSAT
131,PUSKESMAS
132,PUSLIT
133,RS
134,RSUD
135,RSIA
136,SARATOGA
137,SEKOLAH 
138,SOECHI
139,SOHO
140,TAMBANG
141,TEMPO
142,TIMAH
143,TINGGI
144,UNIVERSITAS
145,VISION
146,XL
147,YAYASAN
148,SAKIT
149,ASS
150,SINARMAS
151,MEGATRADING
152,SURGICA
153,SURGIKA
154,TUMBUH
155,HOTEL
156,TANKER
157,INSTRUMEN
158,KONTROL
159,MEDIKARYA
160,ADMINISTRASI
161,TOLLWAYS
162,PERKASA
163,LESTARI
164,PRATAMA
165,INDAH
166,TEKNOLOGI
167,MAS
168,BERKAH
169,PERORANGAN
170,MULIA
171,RAYA
172,SARANA
173,ASIA
174,KREASI
175,TEKNIK
176,ASTRA
177,SOLUSI
178,CEMERLANG
179,SEJATI
180,SAKTI
181,KENCANA
182,ALAM
183,INDUSTRIES
184,ENGINEERING
185,BUANA
186,SINERGI
187,DIGITAL
188,METAL
189,STEEL
190,PLASTIK
191,BERKAT
192,MEDIA
193,MOTOR
194,MANUFACTURING
195,FOOD
196,BANGUN
197,TEXTILE
198,PANGAN
199,SAWIT
200,BAJA
201,GRAHA
202,INOVASI
203,AND
204,TIGA
205,PERKEBUNAN
206,PERDANA
207,UNGGUL
208,BALI
209,MEGAH
210,MANUNGGAL
211,FURNITURE
212,KARUNIA
213,BARU
214,PANCA
215,DAYA
216,WAHANA
217,TECH
218,LOGAM
219,GARMENT
220,ENERGY
221,SAMUDRA
222,METALINDO
223,PLASTINDO
224,KHARISMA
225,BATAM
226,GUNA
227,AUTO
228,DUA
229,RASA
230,TUNGGAL
231,TANI
232,LANGGENG
233,MUTIARA
234,ANDALAN
235,KURNIA
236,REJEKI
237,DAN
238,INDUSTRIAL
239,SOLUSINDO
240,PERMATA
241,BUT
242,GUNUNG
243,PLASINDO
244,DWI
245,SERVICES
246,CHEMICAL
247,STAR
248,BUL
249,FAJAR
250,MUSTIKA
251,KREATIF
252,TIMUR
253,TOBACCO
254,BORNEO
255,JAVA
256,BOGA
257,BERJAYA
258,GOLDEN
259,PUTRI
260,CENTRAL
261,PERUSAHAAN
262,SOLUTIONS
263,PLASTIC
264,EKA
265,MEKAR
266,AIR
267,DELTA
268,SAMUDERA
269,JATI
270,DHARMA
271,SETIA
272,WARNA
273,RAJAWALI
274,PERMAI
275,BERLIAN
276,GLOBALINDO
277,WIRA
278,MOBILINDO
279,BAHARI
280,TECHNOLOGIES
281,SUBUR
282,KONSTRUKSI
283,DATA
284,CAKRA
285,TEHNIK
286,ERA
287,NEW
288,ARISTA
289,SOLUTION
290,MANUFAKTUR
291,RUBBER
292,MURNI
293,TERANG
294,POWER
295,LAUTAN
296,ELECTRIC
297,TEKSTIL
298,PACKAGING
299,GRAFIKA
300,HIJAU
301,(PERSERO)
302,SAHABAT
303,PRESISI
304,BHL
305,KUSUMA
306,KAYU
307,BUDI
308,SATU
309,PRODUSEN
310,JASA
311,GARMINDO
312,BUSANA
313,TAMA
314,GREEN
315,MINERAL
316,JAKARTA
317,ARTA
318,KREASINDO
319,GAS
320,LINTAS
321,GULA
322,PILAR
323,PUTERA
324,SEHAT
325,GRUP
326,PRODUCTS
327,PRINTING
328,LANCAR
329,RIMBA
330,ROYAL
331,PELITA
332,BATU
333,MARINE
334,MENTARI
335,PRAKARSA
336,PRECISION
337,CATUR
338,SUPER
339,NATURAL
340,SHIPYARD
341,EMAS
342,BIO
343,BANGSA
344,RAJA
345,DAMAI
346,SEMPURNA
347,NAGA
348,WOOD
349,SANDANG
350,MENARA
351,UNIVERSAL
352,MUDA
353,FORTUNA
354,SATRIA
355,SYSTEMS
356,PELANGI
357,SUN
358,APPAREL
359,TEKNO
360,CHEMICALS
361,STARONE
362,SUNG
363,SURABAYA
364,LIMA
365,SERVICE
366,BERDIKARI
367,BAKTI
368,HASIL
369,SENTRAL
370,AGRI
371,PASIFIK
372,TATA
373,MANDALA
374,ALFA
375,PURNAMA
376,NASIONAL
377,MATAHARI
378,BATIK
379,AROMA
380,SEKAWAN
381,SEMBILAN
382,ELECTRONICS
383,KALIMANTAN
384,PESONA
385,BAHAGIA
386,INDOTAMA
387,TOP
388,KARTIKA
389,NABATI
390,TRIMITRA
391,ANAK
392,INTEGRASI
393,TIMBER
394,TRIJAYA
395,KEMASINDO
396,COMPANY
397,TOTAL
398,PABRIK
399,DJAJA
400,BERKARYA
401,SUMATERA
402,TANJUNG
403,CREATIVE
404,PAPER
405,MACHINERY
406,NATURA
407,BAHTERA
408,BHAKTI
409,ANGKASA
410,SAMPOERNA
