corp_common_words,count,percentage
PT,39687.0,20.190781440781443
CV,8698.0,4.425111925111925
INDONESIA,8331.0,4.238400488400488
JAYA,3582.0,1.8223443223443225
ABADI,1991.0,1.012922262922263
MANDIRI,1826.0,0.9289784289784289
SEJAHTERA,1523.0,0.7748270248270248
KARYA,1375.0,0.6995319495319495
NUSANTARA,1315.0,0.669006919006919
MAKMUR,1295.0,0.6588319088319089
UTAMA,1291.0,0.6567969067969068
PERKASA,1254.0,0.6379731379731379
PRIMA,1164.0,0.5921855921855922
TBK,1140.0,0.57997557997558
LESTARI,1017.0,0.5173992673992673
MITRA,1005.0,0.5112942612942613
SUKSES,921.0,0.46855921855921856
INTERNATIONAL,824.0,0.41921041921041924
INDO,818.0,0.4161579161579162
PUTRA,789.0,0.40140415140415137
GLOBAL,756.0,0.38461538461538464
INDUSTRI,755.0,0.3841066341066341
UD,718.0,0.3652828652828653
PRATAMA,692.0,0.35205535205535204
SURYA,656.0,0.33374033374033374
INDAH,653.0,0.3322140822140822
CIPTA,652.0,0.33170533170533173
SINAR,642.0,0.3266178266178266
MULTI,638.0,0.3245828245828246
TEKNOLOGI,605.0,0.30779405779405783
SENTOSA,594.0,0.30219780219780223
PERSADA,586.0,0.2981277981277981
SUMBER,566.0,0.28795278795278795
CAHAYA,515.0,0.26200651200651204
INDUSTRY,511.0,0.25997150997151
MAS,498.0,0.25335775335775335
BERKAH,495.0,0.2518315018315018
PERORANGAN,494.0,0.25132275132275134
INTI,488.0,0.2482702482702483
GEMILANG,484.0,0.24623524623524623
ANUGERAH,475.0,0.24165649165649164
MULIA,450.0,0.22893772893772896
BERSAMA,448.0,0.2279202279202279
CITRA,442.0,0.22486772486772486
RAYA,435.0,0.2213064713064713
TIRTA,406.0,0.20655270655270658
SARANA,400.0,0.20350020350020348
BINTANG,395.0,0.20095645095645095
ASIA,387.0,0.19688644688644688
AGUNG,386.0,0.19637769637769636
KREASI,383.0,0.19485144485144487
TEKNIK,377.0,0.1917989417989418
AGRO,376.0,0.19129019129019129
MAJU,369.0,0.18772893772893773
ASTRA,360.0,0.18315018315018314
SOLUSI,352.0,0.1790801790801791
CEMERLANG,350.0,0.17806267806267806
BUMI,348.0,0.17704517704517705
