data/namaPerusahaan,data/alamatPerusahaan
PT Adhisakti Solusi Komputindo,"APL Tower Lantai 9/T6, Jl.Letjen S.Parman Kav.28, Tanjung Duren Selatan, Grogol Petamburan, Kota Jakarta Barat, DKI Jakarta"
CV Adimas Jaya Sejahtera,"JL. MERAPI KAVLING 2038, Desa/Kelurahan Serua, Kec. Ciputat, Kota Tangerang Selatan, Serua, Ciputat, Kota Tangerang Selatan, Banten"
PT Adira Semesta Industry,"Jl. Terusan Katapang Km.12 Katapang Kulon Kampung Baraja No.88 RT.001 RW.015., Cilampeni, Katapang, Kabupaten Bandung, Jawa Barat"
PT Agro Murni,"Dumai, Tanjung Penyebal, Sungai Sembilan, Kota Dumai, Riau"
PUD Agro Selaparang,"Jalan Koperasi No. 1, Aikmel Barat, Aikmel, Kabupaten Lombok Timur, Nusa Tenggara Barat"
PT AICA INDONESIA,"Kawasan Industri Indotaisei, Sector 1A, Blok K-5B, Kalihurip, Cikampek, Kabupaten Karawang, Jawa Barat"
CV Airaqua,"Jl. Pendidikan, Paal, Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat"
PT AKR CORPORINDO,"Jalan Coaster No. 16, Tanjung Mas, Semarang Utara, Kota Semarang, Jawa Tengah"
PR Al Fayid,"LIK IHT Kudus, Desa Megawon, Kec. Jati, Kab. Kudus, Megawon, Jati, Kabupaten Kudus, Jawa Tengah"
PT Alaska Food Industry,"Jl. Rungkut Industri IV no. 24A, Rungkut Tengah, Gunung Anyar, Kota Surabaya, Jawa Timur"
PT Alia Digital Printex,"Jl. Kampung Kandang Gang Manggis, Jagakarsa, Jagakarsa, Kota Jakarta Selatan, DKI Jakarta"
PT Aman Agrindo,"Jl. Raya Panimbang Kampung Tegal Papak Lor, Tegalpapak, Pagelaran, Kabupaten Pandeglang, Banten"
PT Andika Karya Utama,"Kawasan Tarogong (R Sunaryo) Jl. Raya Lapan Mekarsari 2, Mekarsari, Rumpin, Kabupaten Bogor, Jawa Barat"
PR ANDRIANA MAH BENGI,"Jl.yosudarso, Blang Kolak II, Bebesen, Kabupaten Aceh Tengah, Nangroe Aceh Darussalam"
CV Antartika Ice,"Jl. Lingkar Utara, Bacin, Bae, Kabupaten Kudus, Jawa Tengah"
CV Anugrah Karya,"Jl Badak V No.2, Pandean Lamper, Gayamsari, Kota Semarang, Jawa Tengah"
CV Ars Pratama,
CV Aws Sakses,"Jl. Raya Ponco Soko RT. 018 / RW.004 Desa Suciharjo Kec. Parengan Kab. Tuban, Suciharjo, Parengan, Kabupaten Tuban, Jawa Timur"
CV Azhari Permata Mandiri,
PT Boenk Cosmetic Manufacture,"JL. KARYA DUSUN IX, Marendal I, Patumbak, Kabupaten Deli Serdang, Sumatera Utara"
PT Carsurin Oil And Gas Services,
PT CITA BOGA JAYA,"Jl. Kopo Bihbul No. 45, Margahayu Tengah, Margahayu, Kabupaten Bandung, Jawa Barat"
CV Dipta Karya Mitratama,"Jl. Brigif No.39, Cipedak, Jagakarsa, Kota Jakarta Selatan, DKI Jakarta"
PT Dua Landak Persada,"Jl. Deblod sundoro no 31, Bagelen, Padang Hilir, Kota Tebing Tinggi, Sumatera Utara"
PR Ersob,
PT Fanidita Sarana,
PT Fdi Circle Indonesia,"Jl. Kapitan Raya No 55 A, Curug, Cimanggis, Kota Depok, Jawa Barat"
PT Formitra Multi Prakarsa,"Jl. Daendels Km. 61,8, Kel. Sidokelar, Kec. Paciran, Kab. Lamongan, Provinsi Jawa Timur, Sidokelar, Paciran, Kabupaten Lamongan, Jawa Timur"
PT Gunungmas Multiusaha,"JL. RAYA PRANCIS NO. 2 PERGUDANGAN MUTIARA KOSAMBI BLOK C6 NO 23, Dadap, Kosambi, Kabupaten Tangerang, Banten"
CV Hartini Putri Tunggal,
PT Hutan Makmur Indonesia,
PR IDA,"Kp hambulu rt 01/06, Pondok Udik, Kemang, Kabupaten Bogor, Jawa Barat"
CV Idka Jaya,"Jalan Garuda Gg. Karya II Nomor 09, Lempeh, Sumbawa, Kabupaten Sumbawa, Nusa Tenggara Barat"
UD IFA ROSIDA,"JL . Cabean RT 03, Panggungharjo, Sewon, Bantul, Panggungharjo, Sewon, Kabupaten Bantul, DI Yogyakarta"
PT Ilham Sejahtera Indonesia,
PT Indah Bukit Nusatama,"Kawasan Industri De Primaterra II Blok D N0 5, Tegalluar, Bojongsoang, Kabupaten Bandung, Jawa Barat"
PT Inocycle Technology Group Tbk,"Kp. Marengmang 1 Rt.003 Rw.001 Desa Marengmang Kec.Kalijati Kab.Subang, Marengmang, Kalijati, Kabupaten Subang, Jawa Barat"
PT Inti Idola Anugerah,"JALAN PENGGUNG JATINOM KM. 1 PETUNG, Blanceran, Karanganom, Kabupaten Klaten, Jawa Tengah"
PT JAVASARI MITRA PRIMA,"Jl. Jababeka Raya Blok Q No.1, Kawasan Industri Jababeka, Desa Wangunharja, Wangunharja, Cikarang Utara, Kabupaten Bekasi, Jawa Barat"
PT Kapal Api Global,
PR KARTINI,"JORONG PALUPUH, Desa/Kelurahan Pasia Laweh, Pasia Laweh, Palupuh, Kabupaten Agam, Sumatera Barat"
CV Lajuna Industri Abadi,"Kp. Cinyompok No. 15, Tenjo, Tenjo, Kabupaten Bogor, Jawa Barat"
PT Madya Valensi Prima,"Soho Capital lantai 19 Podomoro City, Jl. Letjend S. Parman Kav.28, Desa/Kelurahan Tanjung Duren Selatan, Kec. Grogol Petamburan, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta,, Tanjung Duren Selatan, Grogol Petamburan, Kota Jakarta Barat, DKI Jakarta"
PT MAHADY TEKNOLOGI RIAU,"Jl. Lingkar Pasir Putih, Pangkalan Baru, Siak Hulu, Kabupaten Kampar, Riau"
CV Makmur Sentosa Abadi,"Jl. Pelangi No. 9-11, Sukamukti, Majalaya, Kabupaten Bandung, Jawa Barat"
PT Perorangan Maktabah Store Retail Solution,"Jl. Pesantren No. 146 RT 003 RW 016, Cibabat, Cimahi Utara, Kota Cimahi, Jawa Barat"
PR MUJI LESTARI,"Bansari, RT 001/004, Kepek, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta"
PT Multiplast Maju Makmur,
PT Multitek Kabel Indonesia,"Jalan Bintang Mas No 4 Kelurahan Nanggewer Mekar, Nanggewer Mekar, Cibinong, Kabupaten Bogor, Jawa Barat"
CV Mutiara Kalimantan,
PR Mv Global,"Jl.Durian Raya Tanah Kapling Jetis Kalinegoro, Kalinegoro, Mertoyudan, Kabupaten Magelang, Jawa Tengah"
PR Oke Semar Gambang,"Desa Parerejo, Parerejo, Purwodadi, Kabupaten Pasuruan, Jawa Timur"
BUL Persekutuan dan Perkumpulan SUMBER TANI,"Dusun Woko Rahmat, Woko, Pajo, Kabupaten Dompu, Nusa Tenggara Barat"
