data/namaPerusahaan,data/alamatPerusahaan
PR Gilang Putra Gemilang,"jln KUDUS E.19,BTNTANAH AJI PUNIA SABA.Desa/Kelurahan Punia Kec. Kota Mataram, Punia, Mataram, Kota Mataram, Nusa Tenggara Barat"
PT gilang Putra Perkasa,"Jl.Raya Perum Puri Jaya, Sukamantri, Pasar Kemis, Kabupaten Tangerang, Banten"
PR Gilang Ramadhan,"Gang Karang Bedil, Gondang, Gangga, Kabupaten Lombok Utara, Nusa Tenggara Barat"
CV Gilang Raya,
PT Gilda Putra Gemilang,"Jl. Wibawa Mukti II, No. 2B, RT. 003 RW. 005, Jatisari, Jatiasih, Kota Bekasi, Jawa Barat"
PR Gili Liyuk,
CV Gili Waring Persada,"Jl Gili Johar Blok Pahing, Sindanglaut, Lemahabang, Kabupaten Cirebon, Jawa Barat"
PR Gilisen Leo,
PR Gilly Firzatullah,"Jl. Perdu Nunang No. 1, Kp. Nunang Antara, Nunang Antara, Bebesen, Kabupaten Aceh Tengah, Nangroe Aceh Darussalam"
PR Gillyan Stephani Hukom,"Jl. Raya Pattimura, Uritetu, Sirimau, Kota Ambon, Maluku"
PT Gilontas Indonesia,"Jl. Ikan Tuna Barat No. 81 Benoa, Pedungan-Denpasar Selatan-Denpasar-Bali, Pedungan, Denpasar Selatan, Kota Denpasar, Bali"
PR Gim Paputungan,"komplex kantor bappeda, Lalow, Lolak, Kabupaten Bolaang Mongondow, Sulawesi Utara"
PR Giman Saifudin,"Jl. Jelarai Raya, Jelarai Selor, Tanjung Selor, Kabupaten Bulungan, Kalimantan Utara"
PR Gimaya Indarwandi,"Tegalsari RT.05 RW.10, Magersari, Magelang Selatan, Kota Magelang, Jawa Tengah"
PT Gimbal Zen Asia,"BENOA SQUARE LT. 2, Unit No. 1-4.2/A & 23-26.2/B, JL. BY PASS NGURAH RAI NO. 21 A, KEDONGANAN, KUTA, Kabupaten Badung, Bali"
PT GIMEX FURNITURE MANUFACTURING,"Jalan Raya Lemahbang KM 52,5, Ngadimulyo, Sukorejo, Kabupaten Pasuruan, Jawa Timur"
PR Gimin,"lingk.lipu, Labuang Utara, Banggae Timur, Kabupaten Majene, Sulawesi Barat"
CV Gin Golf Gloves,"BERBAH RT 006 RW 009, Tegaltirto, Berbah, Kabupaten Sleman, DI Yogyakarta"
PR Gina,
PR Gina Audia,"Kebun Jeruk, Silungkang, Silungkang Oso, Silungkang, Kota Sawah Lunto, Sumatera Barat"
PR Gina Juana Fitriana,"Desa Gedang, Gedang, Sungai Penuh, Kota Sungai Penuh, Jambi"
PR Gina Riyanabhakti,"JL MADRASAH, Pondok Ranggon, Cipayung, Kota Jakarta Timur, DKI Jakarta"
PR Gina Sonia Harahap,"SIALANG SIMATANIARI, Aek Suhat, Padang Bolak, Kabupaten Padang Lawas Utara, Sumatera Utara"
PR Gina Virani,"JL KANGKUNG NO.2, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta, Grogol Selatan, Kebayoran Lama, Kota Jakarta Selatan, DKI Jakarta"
PR Ginanjar Yugo Wasito,
PR Ginanti,"KAVLING KABIL INDAH BLOK D NO. 23, Kabil, Nongsa, Kota Batam, Kepulauan Riau"
CV Ginaris Banyu Bening,"Gg. Sekarmalang, Mlati Lor, Mlati Lor, Kota Kudus, Kabupaten Kudus, Jawa Tengah"
CV Ginatex,"JL. INDUSTRI II NO. 26 LEUWIGAJAH-CIMAHI, Utama, Cimahi Selatan, Kota Cimahi, Jawa Barat"
PR Ginatul Husna,"Sikabu Palak Pisang, Sikabu Lubuk Alung, Lubuk Alung, Kabupaten Padang Pariaman, Sumatera Barat"
PR Ginawaty Zhaharah,
PR Gingin Ginagan Harahap,"Caringin Babakan No. R58, RT.03 RW.13, Margajaya, Ngamprah, Kabupaten Bandung Barat, Jawa Barat"
PR Giniprastiwi Saptowati,"JL.ANGGREK RT/RW 005/000, Suka Damai, Rimbo Ulu, Kabupaten Tebo, Jambi"
PT GINSA INTI PRATAMA,"JL. RAYA SERANG. KM.19,3 KAMPUNG CIBADAK NO.33 RT.015 RW.006, Bojong, Cikupa, Kabupaten Tangerang, Banten"
CV Gintung Furniture,
PT Ginvi Ekawira Akasa,
CV Giofranc Furniture,"Jl. Timor Raya KM. 7 RT. 001 RW. 001, Oesapa Barat, Kelapa Lima, Kota Kupang, Nusa Tenggara Timur"
PR Giono Saputro,"Jalan Kasimudin, Tanjung Palas Hilir, Tanjung Palas, Kabupaten Bulungan, Kalimantan Utara"
PT Giovanni Gemilang Abadi,"Jl. Ence Sumantadiredja No.187, Pamoyanan, Bogor Selatan, Kota Bogor, Jawa Barat"
PT Giovanni Jaya Makmur,"Ruko Permata Puri, Jl. KH. Ahmad Dahlan No.15A, RT.001/RW.5,, Petir, Cipondoh, Kota Tangerang, Banten"
CV GIOVANNI SUKSES MAKMUR,"Jalan Berbek Industri 5 No.1, Berbek, Waru, Kabupaten Sidoarjo, Jawa Timur"
PR Giovanni Winarta,"Sukomanunggal Jaya 6/6, Sukomanunggal, Sukomanunggal, Kota Surabaya, Jawa Timur"
PR Giovano Franky Robert Latuheru,"JL. Sirimau No 76, Batu Meja, Sirimau, Kota Ambon, Maluku"
PR Giovin Yolanda,"Tebing Tinggi, Tebing Tinggi, Siulak Mukai, Kabupaten Kerinci, Jambi"
CV Giri Agro,"Jl. Grand Hotel Lembang No. 35 Lembang Bandung Barat, Lembang, Lembang, Kabupaten Bandung Barat, Jawa Barat"
Giri Aneka Usaha,
PT Giri Aneka Usaha Perseroda,"Jl. Brigjen Katamso No. 6 Kaliancar, Kaliancar, Selogiri, Kabupaten Wonogiri, Jawa Tengah"
BUL Giri Arjuna,
PT GIRI ARTA KUSUMA,"RUKO MALL CITRA KLENDER BLOK B.3 NO.20, Klender, Duren Sawit, Kota Jakarta Timur, DKI Jakarta"
CV Giri Jaya Makmur,"kp cisaladah, gunung masigit, cipatat, Kabupaten Bandung Barat, Jawa Barat"
PT Giri Maju Abadi,"Jl. Raya Ngadirojo-Baturetno KM 05 Gobeh,, gedong, Ngadirojo, Kabupaten Wonogiri, Jawa Tengah"
CV Giri Mulya Utama,"JL MAYJEND SUNGKONO BLOK NO 5 BLOK D-15, SEGOROMADU, KEBOMAS, Kabupaten Gresik, Jawa Timur"
PT Perorangan Giri Raya Solutions,"Rt.01 Rw.01 Dusun.Jabon Desa/Kelurahan.Tulungrejo, Tulungrejo, Ngantang, Kabupaten Malang, Jawa Timur"
PT Giri Senawamas Bali,"Desa Karanganom RT01 RW 01, karanganom, pasrujambe, Kabupaten Lumajang, Jawa Timur"
PT Giri Tirta Mulya,"JATISARI RT 019/ RW 004, Playen, Playen, Kabupaten Gunung Kidul, DI Yogyakarta"
PT Girimas Arthamulia,"JL. RAYA PRANCIS NO. 2 PERGUDANGAN MUTIARA KOSAMBI I BLOK C6 NO 23, DADAP, KOSAMBI, Kabupaten Tangerang, Banten"
PT Girimekar Abadi Jaya,"Kawasan Industri Pergudangan Taman Tekno BSD City Blok J3/07, Setu, Setu, Kota Tangerang Selatan, Banten"
CV Girindra Karya Apparel,"Perumahan Kinara Regency Blok A No.18, RT 005, RW 012, Lengkong, Bojongsoang, Kabupaten Bandung, Jawa Barat"
PT Girisalak Indah,"Jl.Kabandungan II Jl.Sirnagalih Ciapus, Sirnagalih, Tamansari, Kabupaten Bogor, Jawa Barat"
PT Girisantosa Adiraya,"Jalan Menteri Supeno, Kalikidang, Sokaraja, Kabupaten Banyumas, Jawa Tengah"
CV Girli Laksana Kasiba,"dusun kedungpring, desa/kelurahan bawuran, kec. pleret, kab. bantul provinsi daerah istimewa yogyakarta, Bawuran, Pleret, Kabupaten Bantul, DI Yogyakarta"
PT Girsa Wilutama Solusindo,
PT Gisara Tantra Berkarya,"Jl Pendem, Dusun Seloboro, Seloboro, Salam, Kabupaten Magelang, Jawa Tengah"
PR Gisawati Tusianur,"Tanjung wangi rt001 rw014 kel.sukanagara kec.purbaratu, Sukanagara, Purbaratu, Kota Tasikmalaya, Jawa Barat"
PT Giscare,"Kampung Jatisari RT/RW 06/04, Margaasih, Margaasih, Kabupaten Bandung, Jawa Barat"
